planet_name,host_star_name,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_rad_jup_rad,planet_mass_earth_mass,planet_mass_jup_mass,Eccentricity,planet_equil_temp_k,spectral_type,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,distance_parsec,stellar_surf_grav,declination_deg,discovery_method
11 Com b,11 Com,324.62,1.226,,,5505.066163,17.32133333,0.2345,,G8 III,4808,16.38,2.463333333,93.1846,2.38,17.7932516,Radial Velocity
11 UMi b,11 UMi,516.219985,1.526666667,,,3818.094733,12.01333333,0.08,,K4 III,4276.5,26.935,2.093333333,125.321,1.765,71.8239428,Radial Velocity
14 And b,14 And,186.3,0.761666667,,,1224.550433,3.853,0,,K0 III,4850.5,11.275,1.726666667,75.4392,2.59,39.2358367,Radial Velocity
14 Her b,14 Her,1766.378417,2.81475,,,1642.383591,5.167625,0.362925,,K0 V,5296.985,0.976666667,0.927142857,17.9323,4.42,43.8163621,Radial Velocity
16 Cyg B b,16 Cyg B,799.375,1.662833333,,,533.5145283,1.678666667,0.676033333,,G2.5 V,5728.594,1.14,1.016,21.1397,4.344,50.5168243,Radial Velocity
17 Sco b,17 Sco,578.38,1.45,,,1373.01872,4.32,0.06,,K3 III,4157,25.92,1.22,124.953,1.7,-11.8377905,Radial Velocity
18 Del b,18 Del,988.075,2.538666667,,,3109.01538,9.782333333,0.052,,G6 III,4979.5,8.65,2.166666667,76.222,2.845,10.8391378,Radial Velocity
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,330,18.647,1.664,3135.75,9,,1750,K7 V,4043.25,1.33,0.7925,139.135,4,-21.0831403,Imaging
24 Boo b,24 Boo,30.3403,0.192,,,284.93389,0.8965,0.037,,G3 IV,4854.5,11.415,1.02,95.9863,2.35,49.8446488,Radial Velocity
24 Sex b,24 Sex,452.8,1.333,,,632.46,1.99,0.09,,,5098,4.9,1.54,72.0691,3.5,-0.9023998,Radial Velocity
24 Sex c,24 Sex,883,2.08,,,273.32,0.86,0.29,,,5098,4.9,1.54,72.0691,3.5,-0.9023998,Radial Velocity
2M0437 b,2MASS J04372171+2651014,,118,,,1271.31363,4,,1450,M V,3100,0.84,0.17,128.484,4.5,26.8502997,Imaging
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,84,,,4131.79,13,,,M5.5/M6,,,0.19,,,-55.2658291,Imaging
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,52,11.209,1,7786.5,24.5,,1600,M3.5 V,3419.5,0.37,0.375,33.8281,4.86,-24.6646128,Imaging
2MASS J02192210-3925225 b,2MASS J02192210-3925225,,156,16.141,1.44,4417.837,13.9,,,M6,3064,0.28,0.11,,4.59,-39.4230767,Imaging
2MASS J0249-0557 c,2MASS J0249-0557 A,,1950,,,3686.80952,11.6,,,M6 V,,,0.05,66.0613,,-5.9599921,Imaging
2MASS J03590986+2009361 b,2MASS J03590986+2009361,,572,,,5720.91133,18,,2369,,,,,117.435,,20.1599759,Imaging
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,15,,,2383.6,7.5,,,M8.5,,,0.02,,,23.0308544,Imaging
2MASS J11011926-7732383 b,2MASS J11011926-7732383,,266,,,8899.1954,28,,2677,,,,,,,-77.5440912,Imaging
2MASS J11550485-7919108 b,2MASS J11550485-7919108,,587,,,6356.56814,20,,2506,,,,,100.862,,-79.3197558,Imaging
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,50.5,,,1430.075,4.5,,1200,M8,2825,0.22,0.105,64.308,5.03,-39.5484399,Imaging
2MASS J19383260+4603591 b,2MASS J19383260+4603591,411,0.92,,,597.51892,1.88,0.33,,,29564,0.2,0.48,396.332,5.51,46.0664076,Eclipse Timing Variations
2MASS J21252752-8138278 b,2MASS J21252752-8138278,,7493,,,3813.94088,12,,1616,,,,,34.1154,,-81.6414894,Imaging
2MASS J22362452+4751425 b,2MASS J22362452+4751425,,230,,,3972.875,12.5,,,K7 V,4045,,0.6,69.5737,,47.861683,Imaging
30 Ari B b,30 Ari B,338.5333367,0.998333333,,,3210.039533,10.1,0.253,,F6 V,6315.5,1.223333333,1.416666667,44.657,4.465,24.6480103,Radial Velocity
4 UMa b,4 UMa,269.785,0.8735,,,2383.990035,7.501,0.4425,,K1 III,4415,18.11,1.23,73.4603,1.8,64.3280504,Radial Velocity
42 Dra b,42 Dra,479.1,1.19,,,1233.13,3.88,0.38,,K1.5 III,4200,22.03,0.98,90.6545,1.71,65.5633652,Radial Velocity
47 UMa b,47 UMa,1083.04,2.0958,,,812.223832,2.5556,0.0412,,G0 V,5861.053333,1.175,1.043333333,13.7967,4.315,40.4304931,Radial Velocity
47 UMa c,47 UMa,4088,4.911333333,,,251.81724,0.792333333,0.094,,G1 V,5850.58,1.175,1.035,13.7967,4.315,40.4304931,Radial Velocity
47 UMa d,47 UMa,16501,12.7,,,500.570445,1.575,0.27,,,5850.58,1.175,1.035,13.7967,4.315,40.4304931,Radial Velocity
51 Eri b,51 Eri,13326.5,13.06666667,,,635.66,2,0.33,700,F0 IV,7295,1.49,1.683333333,29.7575,4.31,-2.4738245,Imaging
51 Peg b,51 Peg,4.23053038,0.0522625,,,148.360256,0.4668,0.00344,,,5763.92,1.22,1.046666667,15.4614,4.316666667,20.7690958,Radial Velocity
55 Cnc b,55 Cnc,14.63266867,0.11403475,,,263.0810258,0.827766667,0.013758333,700,G8 V,5241.412857,0.956666667,0.918,12.5855,4.438571429,28.3298154,Radial Velocity
55 Cnc c,55 Cnc,44.325675,0.23927825,,,55.53513375,0.1747375,0.102375,,,5248.315,0.956666667,0.9225,12.5855,4.428333333,28.3298154,Radial Velocity
55 Cnc d,55 Cnc,5000.56,5.5963,,,1137.00417,3.5775,0.11499,,G8 V,5248.315,0.956666667,0.925555556,12.5855,4.428333333,28.3298154,Radial Velocity
55 Cnc e,55 Cnc,1.012018753,0.019643636,1.97525,0.176125,8.1973925,0.027231538,0.081625,1958,G8 V,5239.080909,0.954615385,0.922666667,12.5855,4.430909091,28.3298154,Radial Velocity
55 Cnc f,55 Cnc,260.81,0.778585714,,,47.39125571,0.1491,0.161,,,5248.315,0.956666667,0.918571429,12.5855,4.428333333,28.3298154,Radial Velocity
6 Lyn b,6 Lyn,906.9835,2.1295,,,675.4694575,2.12525,0.0935,,K0 IV,4952.333333,5.135,1.57,54.6599,3.17,58.1611753,Radial Velocity
61 Vir b,61 Vir,4.214935,0.0498805,,,5.10852,0.01605,0.1095,,G5 V,5581.285,0.995,0.925,8.50332,4.355,-18.3157745,Radial Velocity
61 Vir c,61 Vir,38.05835,0.2163,,,17.15695,0.05385,0.104,,G5 V,5581.285,0.995,0.925,8.50332,4.355,-18.3157745,Radial Velocity
61 Vir d,61 Vir,123.01,0.476,,,22.9,0.072,0.35,,G5 V,5577,0.96,0.94,8.50332,4.34,-18.3157745,Radial Velocity
7 CMa b,7 CMa,764.7,1.862666667,,,732.0491,2.303333333,0.14,,K1 III,4804.173333,4.026666667,1.43,19.8101,3.22,-19.2561808,Radial Velocity
7 CMa c,7 CMa,996,2.153,,,276.5121,0.87,0.08,,,4826,4.87,1.34,19.8101,3.19,-19.2561808,Radial Velocity
70 Vir b,70 Vir,116.6899583,0.476416667,,,2315.67721,7.286,0.399066667,,,5498.372,1.8975,1.098,17.9011,3.956,13.7763085,Radial Velocity
75 Cet b,75 Cet,694.26,2.006,,,870.69331,2.7395,0.105,,G3 III,4827.5,10.44,2.205,82.9613,2.66,-1.0350269,Radial Velocity
75 Cet c,75 Cet,2051.62,3.929,,,289.85951,0.912,0.023,,G3 III,4809,10.38,1.92,82.9613,2.69,-1.0350269,Radial Velocity
8 UMi b,8 UMi,93.4,0.49,,,446.55115,1.405,0.06,,K0,4847.2,10.1,1.62,162.552,2.57,74.9009379,Radial Velocity
81 Cet b,81 Cet,979.135,2.258,,,1336.619513,4.205666667,0.1215,,G5 III,4759.5,11.105,1.743333333,101.26,2.38,-3.3963607,Radial Velocity
91 Aqr b,91 Aqr,181.4,0.7,,,1017,3.2,0.027,,K0 III,4665,11,1.4,44.0304,2.52,-9.0878076,Radial Velocity
AB Aur b,AB Aur,,93.9,,,2860.45566,9,0.4,,,9770,,2.4,162.127,,30.5510888,Imaging
AB Pic b,AB Pic,,260,,,4290.5,13.5,,,K2 V,,,,50.0475,,-58.0541184,Imaging
AF Lep b,AF Lep,8203.333333,8.563333333,,,1349.393473,4.245666667,0.343333333,1400,F8 V,6123.333333,1.25,1.176666667,26.8564,4.4,-11.9011752,Imaging
AU Mic b,AU Mic,8.463094689,0.06486,4.105,0.36625,22.22156667,0.069915,0.064538571,596.5,M1,3690.5,0.758571429,0.515714286,9.7221,4.425,-31.34245,Transit
AU Mic c,AU Mic,18.85908683,0.11025,2.850666667,0.254333333,14.9,0.04688,0.043595,456.5,,3685.75,0.762,0.522,9.7221,4.436666667,-31.34245,Transit
AU Mic d,AU Mic,12.73596,,,,1.053,0.00331,0.00305,,,3678,0.74,0.51,9.7221,4.4,-31.34245,Transit Timing Variations
BD+03 2562 b,BD+03 2562,481.9,1.3,,,2034.112,6.4,0.2,,,4095,32.35,1.14,1070.63,1.89,2.7601075,Radial Velocity
BD+14 4559 b,BD+14 4559,268.94,0.7785,,,398.8666,1.255,0.29,,K2 V,4936,0.905,0.675,49.352,4.43,14.6893834,Radial Velocity
BD+15 2375 b,BD+15 2375,153.22,0.576,,,337.21763,1.061,0.001,,,4649,8.95,1.08,768.045,2.61,14.6163182,Radial Velocity
BD+15 2940 b,BD+15 2940,137.48,0.539,,,352.78,1.11,0.26,,K0,4796,14.7,1.1,426.42,2.8,15.5467507,Radial Velocity
BD+20 2457 b,BD+20 2457,379.63,1.25,,,12237.89985,38.505,0.15,,K2 II,4198,60.01,6.815,1539.71,1.64,19.8912626,Radial Velocity
BD+20 2457 c,BD+20 2457,621.99,2.01,,,3963.17,12.47,0.18,,K2 II,4137,49,2.8,1539.71,1.51,19.8912626,Radial Velocity
BD+20 274 b,BD+20 274,578.2,1.3,,,1334.886,4.2,0.21,,K5 III,4296,17.3,0.8,1322.51,1.99,21.0052692,Radial Velocity
BD+20 594 b,BD+20 594,41.686548,0.241,2.387666667,0.213,19.27405,0.060645,0,546,G,5745,0.99,1.196666667,179.461,4.46,20.5990205,Transit
BD+45 564 b,BD+45 564,307.88,0.83,,,432.24663,1.36,0.12,,K1,5004,,0.81,53.622,4.22,45.9242187,Radial Velocity
BD+48 738 b,BD+48 738,392.6,1,,,289.2253,0.91,0.2,,K0 III,4414,11,0.74,871.493,2.24,49.5869395,Radial Velocity
BD+48 740 b,BD+48 740,733,1.7,,,540.311,1.7,0.76,,,4534,10.33,1.09,666.589,2.48,48.9300579,Radial Velocity
BD+49 828 b,BD+49 828,2590,4.2,,,508.5,1.6,0.35,,K0,4943,7.6,1.52,442.042,2.85,49.7299481,Radial Velocity
BD+55 362 b,BD+55 362,265.59,0.78,,,228.83645,0.72,0.27,,K3,5012,,0.91,52.5697,4.09,56.6982282,Radial Velocity
BD+60 1417 b,BD+60 1417,,1662,14.684,1.31,4767.4261,15,,1303,K0,4993,0.8,1,44.9543,4.55,60.0143636,Imaging
BD+63 1405 b,BD+63 1405,1214.24,2.0875,,,2282.00796,7.18,0.8855,,K0,5000,,0.82,38.0473,4.2,63.6700064,Radial Velocity
BD-00 4475 b,BD-00 4475,723.2,1.48,,,7961.6016,25.05,0.39,,G0,5040,,0.81,42.6402,4.25,0.4085612,Radial Velocity
BD-06 1339 b,BD-06 1339,3.8728,0.0428,,,8.5,0.027,0,,K7/M0 V,4324,,0.7,20.2695,4.74,-5.9963378,Radial Velocity
BD-06 1339 c,BD-06 1339,125.94,0.435,,,53,0.17,0.31,,K7/M0 V,4324,,0.7,20.2695,4.74,-5.9963378,Radial Velocity
BD-08 2823 b,BD-08 2823,5.6,0.058,,,13.5566,0.0425,0.15,,K3 V,4781,0.71,0.62,41.3342,4.28,-9.5165689,Radial Velocity
BD-08 2823 c,BD-08 2823,237.6,0.68,,,104,0.33,0.19,,K3 V,4746,,0.74,41.3342,4.13,-9.5165689,Radial Velocity
BD-10 3166 b,BD-10 3166,3.48761125,0.04405,,,157.0836625,0.49425,0.02775,,K0 V,5392.16,0.94,1.145,84.4069,4.5575,-10.7704227,Radial Velocity
BD-11 4672 b,BD-11 4672,1650.5,2.32,,,187.51475,0.59,0.05,,K7 V,4512.5,0.58,0.61,27.1665,4.37,-11.6370481,Radial Velocity
BD-11 4672 c,BD-11 4672,74.2,0.3,,,15.37,0.04836,0.4,,,4550,0.64,0.65,27.1665,4.64,-11.6370481,Radial Velocity
BD-13 2130 b,BD-13 2130,714.299995,1.88,,,3238.6877,10.19,0.21,,,4545,19.17,2.26,925.214,2.2,-13.9066703,Radial Velocity
BD-17 63 b,BD-17 63,655.59999,1.34,,,1263.35775,3.975,0.54,,K5 V,4689.5,0.715,0.525,34.4603,4.225,-16.2273254,Radial Velocity
BD-210397 b,BD-210397,1891,2.63,,,214,0.7,0.1,,K7 V,4051,0.75,0.68,23.7324,4.67,-21.1962147,Radial Velocity
BD-210397 c,BD-210397,6300,5.9,,,1142.288175,3.6,0.265,,K7 V,4051,0.75,0.685,23.7324,4.67,-21.1962147,Radial Velocity
CD Cet b,CD Cet,2.2907,0.0185,,,3.95,0.01243,,464,M5.0 V,3130,0.17,0.16,8.60715,4.93,4.7751881,Radial Velocity
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,10037.5,2.6,,,3337.1,10.5,,370,,580.5,,0.02,,4.72,10.2286111,Imaging
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,8040000,200,20.849,1.86,2479.06157,7.8,,1800,M9-L1,2320,0.24,0.01,,3.85,-23.98115,Imaging
CHXR 73 b,CHXR 73,,210,,,3994.486,12.569,,,M3.5,,,0.35,190.374,,-77.6258725,Imaging
CI Tau c,CI Tau,25.2,0.17,,,1144.18227,3.6,0.58,,,,,,157.998,,22.8416192,Radial Velocity
COCONUTS-2 b,COCONUTS-2 A,402000000,7506,12.442,1.11,2002.31896,6.3,,434,M3 V,3406,0.39,0.37,10.8864,4.83,-76.702696,Imaging
CT Cha b,CT Cha,,440,24.66,2.2,5403,17,,2600,,,,,190.72,,-76.4553693,Imaging
CoRoT-1 b,CoRoT-1,1.508965587,0.02622,17.1628,1.5312,348.97436,1.098,0.02675,1882.333333,G0 V,6019.6,1.1525,1.0375,787.909,4.27,-3.1021394,Transit
CoRoT-10 b,CoRoT-10,13.2406,0.105666667,10.76366667,0.960333333,875.0811,2.753333333,0.527,623.5,K1 V,5075,0.773333333,0.893333333,338.386,4.65,0.7460143,Transit
CoRoT-11 b,CoRoT-11,2.994317606,0.043795,15.906,1.419,777.085875,2.445,0.12,1702.333333,F6 V,6420.6,1.361666667,1.31,655.037,4.2425,5.9376586,Transit
CoRoT-12 b,CoRoT-12,2.828043936,0.0397225,15.6195,1.3935,285.4083125,0.898,0.06,1423,,5675,1.092,1.052,1126.37,4.3875,-1.2964437,Transit
CoRoT-13 b,CoRoT-13,4.03518,0.051023333,11.29133333,1.007333333,418.57623,1.317,0.0335,1566,G0 V,5945,1.075,1.09,1148.93,4.393333333,-5.0864557,Transit
CoRoT-14 b,CoRoT-14,1.51214,0.026926667,11.94966667,1.066,2403.818233,7.563333333,0.018,1944,F9 V,6036.666667,1.203333333,1.126666667,1744.6,4.345,-5.5360385,Transit
CoRoT-16 b,CoRoT-16,5.35227,0.0618,13.1125,1.17,169.082035,0.532,0.35,,G5 V,5650,1.19,1.1,732.409,4.36,-6.0026026,Transit
CoRoT-17 b,CoRoT-17,3.7681,0.047433333,11.38333333,1.015666667,773.3740333,2.433333333,0.0405,1618,G2 V,5740,1.6,1.04,1176.12,4.22,-6.612288,Transit
CoRoT-18 b,CoRoT-18,1.90007496,0.0291,14.058,1.25425,1072.663725,3.375,0.0525,1509,G9 V,5440,0.96,0.918,764.889,4.4325,-0.0316045,Transit
CoRoT-19 b,CoRoT-19,3.89713178,0.051553333,14.08633333,1.256666667,355.4361167,1.118333333,0.0515,1815,F9 V,6090,1.636,1.204,790.663,4.0825,-0.1707293,Transit
CoRoT-2 b,CoRoT-2,1.742996096,0.028214,16.35857143,1.459428571,1090.141167,3.43,0.009575,1534.666667,,5629.444444,0.91,0.981666667,213.283,4.446666667,1.3836634,Transit
CoRoT-20 b,CoRoT-20,9.242916,0.08972,10.76175,0.96,1396.53318,4.394,0.575666667,1042,G2 V,5880,1.135,1.126,844.061,4.26,0.2268931,Transit
CoRoT-20 c,CoRoT-20,1675,2.9,,,5403.11,17,0.6,,,,,1.14,844.061,,0.2268931,Radial Velocity
CoRoT-21 b,CoRoT-21,2.72474,0.04165,14.572,1.3,711.9392,2.24,0.195,,F8 IV,6200,1.95,1.29,,3.7,-0.2991544,Transit
CoRoT-22 b,CoRoT-22,9.75598,0.092,4.88,0.435,12.2,0.038,0.077,885,G3 V,5939,1.14,1.1,627.158,4.36,6.2191669,Transit
CoRoT-23 b,CoRoT-23,3.6313,0.048163333,12.25533333,1.093333333,948.1848333,2.983333333,0.16,1685,G0 V,5900,1.653333333,1.133333333,1060.97,4.155,4.3577516,Transit
CoRoT-24 b,CoRoT-24,5.1134,0.056,3.7,0.33,5.7,0.018,0,1070,K1 V,4950,0.86,0.91,591.555,4.55,-3.7192892,Transit
CoRoT-24 c,CoRoT-24,11.759,0.098,5,0.44,28,0.088,0,850,K1 V,4950,0.86,0.91,591.555,4.55,-3.7192892,Transit
CoRoT-25 b,CoRoT-25,4.86069,0.057845,12.108,1.08,89.467095,0.2815,0.11,1330,F9,6040,1.19,1.09,1103.48,4.31,6.5138223,Transit
CoRoT-26 b,CoRoT-26,4.20474,0.05255,14.1215,1.26,174.8007,0.55,0.205,1600,G5,5590,1.79,1.09,1045.18,3.99,6.9697828,Transit
CoRoT-27 b,CoRoT-27,3.57532,0.04715,11.287,1.007,3287.8795,10.345,0.0495,1500,G2,5900,1.08,1.05,1010.28,4.4,5.5383811,Transit
CoRoT-28 b,CoRoT-28,5.20851,0.05965,10.705,0.955,153.352975,0.4825,0.059,,G8/9 IV,5150,1.78,1.01,766.183,3.6,5.5736911,Transit
CoRoT-29 b,CoRoT-29,2.850567167,0.0388,10.088,0.9,268.56635,0.845,0.101,,K0 V,5262.666667,0.96,0.946666667,806.507,4.315,6.4795703,Transit
CoRoT-3 b,CoRoT-3,4.25679955,0.05739,11.35,1.0125,6856.315725,21.5725,0.008,1695,F3 V,6694.5,1.534,1.382,768.771,4.22,0.1218359,Transit
CoRoT-30 b,CoRoT-30,9.06005,0.0844,11.31,1.009,921.707,2.9,0.007,,G3 V,5650,0.91,0.98,1032.23,4.4,6.8359338,Transit
CoRoT-31 b,CoRoT-31,4.62941,0.0586,16.365,1.46,266.9772,0.84,0.02,,G2 IV,5700,2.15,1.25,2005.76,3.85,-4.4222978,Transit
CoRoT-35 b,CoRoT-35,3.22748,0.0429,18.831,1.68,349.61125,1.1,0,1747,F6 V,6390,1.65,1.01,1123.21,4.01,-2.7747085,Transit
CoRoT-36 b,CoRoT-36,5.616531,0.066,15.805,1.41,216.12332,0.68,0,1567,F3 V,6730,1.52,1.32,925.958,4.16,7.1833465,Transit
CoRoT-4 b,CoRoT-4,9.20205,0.090483333,13.227,1.18,228.1994067,0.718,0.07,1066,,6190,1.163333333,1.17,726.412,4.405,-0.6727861,Transit
CoRoT-5 b,CoRoT-5,4.03790396,0.04966,14.611,1.3035,148.9017025,0.4685,0.0885,1394.333333,F9 V,6100,1.135,1.0025,882.472,4.313333333,0.8152163,Transit
CoRoT-6 b,CoRoT-6,8.886601925,0.085466667,13.14033333,1.172333333,939.7051,2.956666667,0.14,1021,F9 V,6090,1.026666667,1.05,645.294,4.425,6.6632062,Transit
CoRoT-7 b,CoRoT-7,0.853628734,0.0170232,1.6525,0.147333333,7.24935875,0.02280625,0.03,1833,G9 V,5266.75,0.862857143,0.8925,159.906,4.51,-1.0630076,Transit
CoRoT-7 c,CoRoT-7,3.698333333,0.0455,,,11.74966667,0.03708,0.06,,G9 V,5254,0.86,0.906666667,159.906,4.52,-1.0630076,Radial Velocity
CoRoT-7 d,CoRoT-7,8.966,,,,17.142,0.05393,,,G9 V,5250,,0.92,159.906,,-1.0630076,Radial Velocity
CoRoT-8 b,CoRoT-8,6.2123515,0.0633225,6.9245,0.61775,69.28629,0.218,0.095,896,K1 V,5080,0.81,0.8825,322.037,4.543333333,1.4262972,Transit
CoRoT-9 b,CoRoT-9,95.2731274,0.403675,11.823,1.05475,266.33974,0.838,0.125666667,416.5,G3 V,5625,0.95,0.9675,412.98,4.52,6.2040783,Transit
CoRoTID 223977153 b,CoRoTID 223977153,6.7183689,0.071,6.389,0.57,47.6745,0.15,,938,G0 VI,5970,0.79,1.08,576.683,4.67,9.2573953,Transit
DE CVn b,DE CVn,4098.1,5.75,,,3823.2733,12.0293,0,,,,,0.51,30.5225,,45.5455449,Eclipse Timing Variations
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,246.36,0.36,,,9057.77,28.5,0.345,,L1.5,,,0.07,,,-49.2003008,Astrometry
DH Tau b,DH Tau,,330,30.264,2.7,3496.065,11,,2200,M0.5,4371,0.82,0.505,134.846,4,26.5493897,Imaging
DMPP-1 b,DMPP-1,18.57,0.1462,,,24.27,0.07636,0.083,877,F8 V,6196,1.26,1.21,62.5388,4.41,-10.6303217,Radial Velocity
DMPP-1 c,DMPP-1,6.584,0.0733,,,9.6,0.0302,0.057,1239,F8 V,6196,1.26,1.21,62.5388,4.41,-10.6303217,Radial Velocity
DMPP-1 d,DMPP-1,2.882,0.0422,,,3.35,0.01054,0.07,1632,F8 V,6196,1.26,1.21,62.5388,4.41,-10.6303217,Radial Velocity
DMPP-1 e,DMPP-1,5.516,0.0651,,,4.13,0.01299,0.07,1314,F8 V,6196,1.26,1.21,62.5388,4.41,-10.6303217,Radial Velocity
DMPP-2 b,DMPP-2,5.2072,0.0664,,,138.89171,0.437,0.078,1000,F5 V,6500,1.78,1.44,137.94,4.1,-34.4590985,Radial Velocity
DMPP-3 A b,DMPP-3 A,6.6734,0.0662,,,2.58,0.00812,0.07,854,K0 V,5138,0.91,0.87,45.23,4.3,-72.5126648,Radial Velocity
DMPP-4 b,DMPP-4,3.4982,0.04853,,,12.2,0.03839,0.063,,F5-F8 V,6400,1.38,1.25,25.3284,4.24,51.2358069,Radial Velocity
DP Leo b,DP Leo,9456.5,8.395,,,1959.33916,6.165,0.39,,,,,0.69,305.684,,17.9615717,Eclipse Timing Variations
DS Tuc A b,DS Tuc A,8.138484,,5.665,0.5045,413.179,1.3,0,850,G6 V,5485,0.915,0.985,44.0622,4.6,-69.196043,Transit
EPIC 201170410.02,EPIC 201170410,6.7987,0.0349,1.047,0.093,,,0,,,3648,0.28,0.29,,5,-4.8070039,Transit
EPIC 201238110 b,EPIC 201238110,28.1676,,2.035,0.1835,,,,,,,0.37,0.41,159.259,,-3.3894613,Transit
EPIC 201427007 b,EPIC 201427007,0.72091,,1.5,0.134,,,,,,5633,0.94,,706.391,4.4,-0.5512886,Transit
EPIC 201497682 b,EPIC 201497682,2.13174,,0.692,0.062,,,,,,,,0.78,253.026,,0.4880606,Transit
EPIC 201595106 b,EPIC 201595106,0.877142333,,1.302,0.118666667,,,,1874,,5745.39,0.95,1.02,232.1,4.51,1.9681688,Transit
EPIC 201615463 c,K2-166,3.80464,,1.22,0.109,,,,,,,,1.07,476.882,,2.2823788,Transit
EPIC 201754305 d,K2-16,2.71578,,1.03,0.092,,,,,,,,0.67,334.967,,4.5574311,Transit
EPIC 201757695.02,EPIC 201757695,2.0478,0.0296,0.908,0.081,,,0,,,4520,0.66,0.73,,4.66,4.6164303,Transit
EPIC 201833600 c,K2-50,3.96158,,1.24,0.1105,,,,,,,0.63,0.61,257.443,,5.988289,Transit
EPIC 201841433 b,EPIC 201841433,4.169423333,0.035,1.183333333,0.105666667,,,,,,5053,0.63,0.8,436.488,4.59,6.1348146,Transit
EPIC 205950854 c,K2-168,8.049707333,,1.37,0.122333333,,,,961,,5502.7,0.865,0.895,243.935,,-16.3418863,Transit
EPIC 206024342 b,EPIC 206024342,4.507365,,1.57,0.14,,,,,,,0.82,0.93,369.888,,-14.1218019,Transit
EPIC 206024342 c,EPIC 206024342,0.911666233,,1.303333333,0.116,,,,,,5686,0.953333333,,369.888,4.5,-14.1218019,Transit
EPIC 206024342 d,EPIC 206024342,14.642393,,3.015,0.26975,,,,,,5936.666667,1.09,,369.888,4.35,-14.1218019,Transit
EPIC 206032309 b,EPIC 206032309,2.87814,,1.01,0.09,,,,,,,,0.22,161.365,,-13.9011223,Transit
EPIC 206042996 b,EPIC 206042996,5.29808,,2.213333333,0.197666667,,,,,,4114,0.585,0.56,451.769,4.8,-13.6101475,Transit
EPIC 206042996 c,EPIC 206042996,0.35489686,,1.325,0.118,,,,,,4003.5,0.535,,451.769,4.8,-13.6101475,Transit
EPIC 206215704 b,EPIC 206215704,2.254912,,1.3,0.123,,,,,,3297,0.31,0.41,109.888,4.9,-9.5097112,Transit
EPIC 206317286 b,EPIC 206317286,1.58284,,1.09,0.0975,,,,,,,0.67,0.71,314.35,,-7.972456,Transit
EPIC 206317286 c,EPIC 206317286,17.509878,,2.291333333,0.204666667,,,,,,4750.5,0.72,0.83,314.35,4.6,-7.972456,Transit
EPIC 211822797 b,EPIC 211822797,21.16900258,0.12525,2.07,0.1845,,,0.12,431,,3941.442,0.596666667,0.614,186.197,4.666666667,17.6399744,Transit
EPIC 211945201 b,EPIC 211945201,19.49361801,0.14865,6.081166667,0.543666667,27,0.08495,0,851.5,G0,6105.857143,1.405555556,1.17,181.69,4.22,19.4020565,Transit
EPIC 212297394 b,EPIC 212297394,2.289251,,1.544333333,0.137666667,,,,1149,,5171,0.775,0.83,418.395,4.55,-17.6098985,Transit
EPIC 212297394 c,EPIC 212297394,5.213581667,,2.28,0.2035,,,,866,,5089.5,0.776666667,0.83,418.395,4.565,-17.6098985,Transit
EPIC 212424622 b,EPIC 212424622,18.0977,,2.19,0.1955,,,,,,,1.22,1.11,611.804,,-14.3594358,Transit
EPIC 212499991 b,EPIC 212499991,34.885,,1.6,0.143,,,,,,,,0.91,283.29,,-12.7347749,Transit
EPIC 212587672 b,EPIC 212587672,15.28299333,,1.256666667,0.112,,,,756,,6004,0.98,0.97,320.07,4.45,-10.8625468,Transit
EPIC 212587672 c,EPIC 212587672,23.22892694,,2.29375,0.20575,,,,658,,6010.5,0.96,1.083333333,320.07,4.505,-10.8625468,Transit
EPIC 212624936 b,EPIC 212624936,0.578657,,1.2,0.107,,,,,,5765,0.93,,561.929,4.4,-10.0236852,Transit
EPIC 212624936 c,EPIC 212624936,11.8126535,,2.485,0.2215,,,,,,5765,0.94,,561.929,4.4,-10.0236852,Transit
EPIC 212737443 b,EPIC 212737443,13.60432651,0.098,2.586,0.231,,,0.2,536,K3,4615.333333,0.67,0.71,336.25,4.64,-7.3180577,Transit
EPIC 212737443 c,EPIC 212737443,65.55,0.28,2.69,0.24,,,0.2,316,K3,4684,0.67,0.69,336.25,4.62,-7.3180577,Transit
EPIC 220492298 b,EPIC 220492298,0.762406,,0.99,0.088,,,,,,5620,0.89,,624.512,4.5,6.588798,Transit
EPIC 220554210 c,K2-282,0.705335333,,1.603333333,0.143,,,,,,5499,1.005,0.94,496.289,4.5,7.9952914,Transit
EPIC 220674823 b,EPIC 220674823,0.5712691,0.012845,1.6942,0.1511,8.3225,0.026185,0,2203.75,G5,5550.5,0.945,0.94,244.59,4.502857143,10.7947051,Transit
EPIC 220674823 c,EPIC 220674823,13.33891578,0.107375,2.762333333,0.246444444,6.8,0.021393333,0.103333333,760.5,G5,5558.285714,0.941111111,0.946666667,244.59,4.516666667,10.7947051,Transit
